	rxnNames	abbreviation	equation	lowbnd	uppbnd	obj_coef
1	1,2 diacylglycerol transport (extracellular to cytoplasm, n-C18:0)	12DGR180ti	12dgr180[e] --> 12dgr180[c]	0	1000	0
2	1,3-propanediol dehydrogenase, reversible	13PPDHr	[c] : 3hppnl + h + nadh <==> 13ppd + nad	-1000	1000	0
3	1,3-propanediol transporter via diffusion	13PPDt	13ppd[e] <==> 13ppd[c]	-1000	1000	0
4	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase	23DHMPO	[c] : 23dhmp + nadp <==> h + 3h3mop + nadph	-1000	1000	0
5	2,3-Cyclic UMP 3-nucleotidohydrolase	23PDE2	[c] : h2o + 23cump --> h + 3ump	0	1000	0
6	2,3-Cyclic CMP 3-nucleotidohydrolase	23PDE4	[c] : h2o + 23ccmp --> h + 3cmp	0	1000	0
7	2,3-Cyclic AMP 3-nucleotidohydrolase	23PDE7	[c] : h2o + 23camp --> h + 3amp	0	1000	0
8	2,3-Cyclic GMP 3-nucleotidohydrolase	23PDE9	[c] : h2o + 23cgmp --> h + 3gmp	0	1000	0
9	L,L-diaminopimelate aminotransferase (irreversible)	26DAPLLATi	[c] : h + h2o + thdp + glu_L --> 26dap_LL + akg	0	1000	0
10	(S)-2-Aceto-2-hydroxybutanoate isomerase	2AHBUTI	[c] : 2ahbut <==> 3h3mop	-1000	1000	0
11	2-methylbutanoyl-CoA[acyl-carrier-protein] transferase	2MBCOATA	[c] : 2mbcoa + ACP <==> coa + 2mbutACP	-1000	1000	0
12	2-methylbutyrate transport via proton symport	2MBUTt2r	2mbut[e] + h[e] <==> h[c] + 2mbut[c]	-1000	1000	0
13	(S)-2-methylbutanoyl-coa[c]:acceptor 2,3-oxidoreductase	2MECOAOX	[c] : 2mbcoa + fad <==> fadh2 + 2mb2coa	-1000	1000	0
14	(3,4-dihydroxyphenyl)acetate transport in via proton symport reversible	34DHPHAt2r	h[e] + 34dhpha[e] <==> h[c] + 34dhpha[c]	-1000	1000	0
15	Vinylacetyl-CoA delta3-delta2-isomerase	3BTCOAI	[c] : 3btcoa <==> b2coa	-1000	1000	0
16	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	3HAD100	[c] : 3hdecACP --> h2o + tdec2eACP	0	1000	0
17	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase	3HAD10M11	[c] : 10m3hundecACP --> h2o + 10mtundec2eACP	0	1000	0
18	10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	3HAD10M12	[c] : 10m3hddcaACP --> h2o + 10mtddec2eACP	0	1000	0
19	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	3HAD11M12	[c] : 11m3hddcaACP --> h2o + 11mtddec2eACP	0	1000	0
20	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	3HAD120	[c] : 3hddecACP --> h2o + tddec2eACP	0	1000	0
21	12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase	3HAD12M13	[c] : 12m3htridecACP --> h2o + 12mttritec2eACP	0	1000	0
22	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	3HAD12M14	[c] : 12m3hmyrsACP --> h2o + 12mtmrs2eACP	0	1000	0
23	13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	3HAD13M14	[c] : 13m3hmyrsACP --> h2o + 13mtmrs2eACP	0	1000	0
24	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	3HAD140	[c] : 3hmrsACP --> h2o + tmrs2eACP	0	1000	0
25	14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase	3HAD14M15	[c] : 14m3hpentdecACP --> h2o + 14mtpentdec2eACP	0	1000	0
26	14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase	3HAD14M16	[c] : 14m3hpalmACP --> h2o + 14mtpalm2eACP	0	1000	0
27	15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase	3HAD15M16	[c] : 15m3hpalmACP --> h2o + 15mtpalm2eACP	0	1000	0
28	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	3HAD160	[c] : 3hpalmACP --> h2o + tpalm2eACP	0	1000	0
29	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	3HAD180	[c] : 3hoctaACP --> h2o + toctd2eACP	0	1000	0
30	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	3HAD40	[c] : 3haACP --> h2o + but2eACP	0	1000	0
31	4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase	3HAD4M5	[c] : 4m3hpentACP --> h2o + 4mtpent2eACP	0	1000	0
32	4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase	3HAD4M6	[c] : 4m3hhexACP --> h2o + 4mthex2eACP	0	1000	0
33	5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase	3HAD5M6	[c] : 5m3hhexACP --> h2o + 5mthex2eACP	0	1000	0
34	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	3HAD60	[c] : 3hhexACP --> h2o + thex2eACP	0	1000	0
35	6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase	3HAD6M7	[c] : 6m3hheptACP --> h2o + 6mthept2eACP	0	1000	0
36	6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	3HAD6M8	[c] : 6m3hocACP --> h2o + 6mtoct2eACP	0	1000	0
37	7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	3HAD7M8	[c] : 7m3hocACP --> h2o + 7mtoct2eACP	0	1000	0
