	rxnNames	abbreviation	equation	lowbnd	uppbnd	obj_coef
1	1,2 diacylglycerol transport (extracellular to cytoplasm, n-C18:0)	12DGR180ti	12dgr180[e] --> 12dgr180[c]	0	1000	0
2	1-Pyrroline-4-hydroxy-2-carboxylate aminohydrolase (decyclizing)	1P4H2CBXLAH	[c] : 1p4h2cbxl + h2o + h <==> 25dop + nh4	-1000	1000	0
3	2,3-Cyclic UMP 3-nucleotidohydrolase	23PDE2	[c] : 23cump + h2o --> 3ump + h	0	1000	0
4	2,3-Cyclic CMP 3-nucleotidohydrolase	23PDE4	[c] : 23ccmp + h2o --> 3cmp + h	0	1000	0
5	2,3-Cyclic AMP 3-nucleotidohydrolase	23PDE7	[c] : 23camp + h2o --> 3amp + h	0	1000	0
6	2,3-Cyclic GMP 3-nucleotidohydrolase	23PDE9	[c] : 23cgmp + h2o --> 3gmp + h	0	1000	0
7	L,L-diaminopimelate aminotransferase	26DAPLLAT	[c] : 26dap_LL + akg <==> glu_L + h2o + h + thdp	-1000	1000	0
8	2-Dehydro-3-deoxy-L-arabinonate hydro-lyase	2DDPENTHL	[c] : 2ddpent --> 25dop + h2o	0	1000	0
9	2 dehydropantoate formaldehyde lyase 3 methyl 2 oxobutanoate forming	2DHPL	[c] : 2dhp <==> 3mob + fald	-1000	1000	0
10	2-Hydroxybutyrate:NAD+ Oxidoreductase	2HBO	[c] : 2hb + nad <==> 2obut + h + nadh	-1000	1000	0
11	2-methylbutanoyl-CoA[acyl-carrier-protein] transferase	2MBCOATA	[c] : 2mbcoa + ACP <==> 2mbutACP + coa	-1000	1000	0
12	3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase	34DHOXPEGOX	[c] : 34dhmald + h + nadh <==> 34dhoxpeg + nad	-1000	1000	0
13	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	3HAD100	[c] : 3hdecACP --> h2o + tdec2eACP	0	1000	0
14	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase	3HAD10M11	[c] : 10m3hundecACP --> 10mtundec2eACP + h2o	0	1000	0
15	10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	3HAD10M12	[c] : 10m3hddcaACP --> 10mtddec2eACP + h2o	0	1000	0
16	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	3HAD11M12	[c] : 11m3hddcaACP --> 11mtddec2eACP + h2o	0	1000	0
17	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	3HAD120	[c] : 3hddecACP --> h2o + tddec2eACP	0	1000	0
18	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	3HAD121	[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP	0	1000	0
19	12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase	3HAD12M13	[c] : 12m3htridecACP --> 12mttritec2eACP + h2o	0	1000	0
20	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	3HAD12M14	[c] : 12m3hmyrsACP --> 12mtmrs2eACP + h2o	0	1000	0
21	13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	3HAD13M14	[c] : 13m3hmyrsACP --> 13mtmrs2eACP + h2o	0	1000	0
22	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	3HAD140	[c] : 3hmrsACP --> h2o + tmrs2eACP	0	1000	0
23	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	3HAD141	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP	0	1000	0
24	14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase	3HAD14M15	[c] : 14m3hpentdecACP --> 14mtpentdec2eACP + h2o	0	1000	0
25	14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase	3HAD14M16	[c] : 14m3hpalmACP --> 14mtpalm2eACP + h2o	0	1000	0
26	15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase	3HAD15M16	[c] : 15m3hpalmACP --> 15mtpalm2eACP + h2o	0	1000	0
27	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	3HAD160	[c] : 3hpalmACP --> h2o + tpalm2eACP	0	1000	0
28	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	3HAD161	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP	0	1000	0
29	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	3HAD180	[c] : 3hoctaACP --> h2o + toctd2eACP	0	1000	0
30	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	3HAD181	[c] : 3hcvac11eACP --> h2o + t3c11vaceACP	0	1000	0
31	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	3HAD40	[c] : 3haACP --> but2eACP + h2o	0	1000	0
32	4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase	3HAD4M5	[c] : 4m3hpentACP --> 4mtpent2eACP + h2o	0	1000	0
