"","ID","Metabolite","uptakes","rnx_name","NutrientType"
"1","fru","fructose",-0.03125,"EX_fru(e)","carb"
"2","glc","glucose",-0.03125,"EX_glc_D(e)","carb"
"3","gal","galactose",-0.03125,"EX_gal(e)","carb"
"4","man","mannose",-0.03125,"EX_man(e)","carb"
"5","lcts","lactose",-0.015625,"EX_lcts(e)","carb"
"6","malt","maltose",-0.015625,"EX_malt(e)","carb"
"7","sucr","sucrose",-0.015625,"EX_sucr(e)","carb"
"8","melib","melibiose",-0.015625,"EX_melib(e)","carb"
"9","strch1","starch (soluble)",-0.0227272727272727,"EX_strch1(e)","carb"
"10","inulin","inulin",-0.00138888888888889,"EX_inulin(e)","carb"
"11","levan1000","levan",-4.16666666666667e-05,"EX_levan1000(e)","carb"
"12","starch1200","starch (insoluble)",-3.47222222222222e-05,"EX_starch1200(e)","carb"
"13","arabinogal","arabinogalactan",-6.47400041433603e-05,"EX_arabinogal(e)","carb"
"14","pect","pectins",-9.86193293885602e-05,"EX_pect(e)","carb"
"15","pullulan1200","pullulan",-3.47222222222222e-05,"EX_pullulan1200(e)","carb"
"16","amylose300","amylose",-0.000138888888888889,"EX_amylose300(e)","carb"
"17","lmn30","laminarin",-0.00138888888888889,"EX_lmn30(e)","carb"
"18","raffin","raffinose",-0.0138888888888889,"EX_raffin(e)","carb"
"19","stys","stachyose",-0.0104166666666667,"EX_stys(e)","carb"
"20","oligofru4","oligofructose",-0.0104166666666667,"EX_oligofru4(e)","carb"
"21","dextran40","dextran",-0.000520833333333333,"EX_dextran40(e)","carb"
"22","arachd","arachidonic acid",-0.000552469389432164,"EX_arachd(e)","fat"
"23","cholesterol","cholesterol",-0.000822821924562413,"EX_chsterol(e)","fat"
"24","glycerol","glycerol",-0.298742706878133,"EX_glyc(e)","fat"
"25","hdca","hexadecanoic acid",-0.0657975696441778,"EX_hdca(e)","fat"
"26","hdcea","hexadecanoic acid",-0.00606181691182513,"EX_hdcea(e)","fat"
"27","lnlc","linoleic acid",-0.0596128473991289,"EX_lnlc(e)","fat"
"28","lnlnca","alpha linoleic acid",-0.00291584579669652,"EX_lnlnca(e)","fat"
"29","lnlncg","gamma linoleic acid",-0.00291584579669652,"EX_lnlncg(e)","fat"
"30","ocdca","octadecanoate(C18:0)",-0.0281012507190402,"EX_ocdca(e)","fat"
"31","ocdcea","octadecanoate(C18:1)",-0.113121175527981,"EX_ocdcea(e)","fat"
"32","octa","octanoate(C8:0)",-0.00214849207001397,"EX_octa(e)","fat"
"33","ttdca","tetradecanoate(C14:0)",-0.0113997041663243,"EX_ttdca(e)","fat"
"34","ala-L","l-alanine",-0.1,"EX_ala_L(e)","prot"
"35","arg-L","l-arginine",-0.05,"EX_ser_L(e)","prot"
"36","glu-L","L-glutamate",-0.06,"EX_cys_L(e)","prot"
"37","gly","glycine",-0.15,"EX_arg_L(e)","prot"
"38","ile-L","l-isoleucine",-0.05,"EX_ile_L(e)","prot"
"39","leu-L","l-leucine",-0.05,"EX_leu_L(e)","prot"
"40","lys-L","l-lysine",-0.05,"EX_lys_L(e)","prot"
"41","met-L","l-methionine",-0.06,"EX_his_L(e)","prot"
"42","pro-L","l-proline",-0.06,"EX_asn_L(e)","prot"
"43","asn-L","l-aspargine",-0.075,"EX_asp_L(e)","prot"
"44","asp-L","l-aspartate",-0.075,"EX_thr_L(e)","prot"
"45","his-L","l-histidine",-0.05,"EX_glu_L(e)","prot"
"46","phe-L","l-phenylalanine",-0.033,"EX_met_L(e)","prot"
"47","ser-L","l-serine",-0.1,"EX_gln_L(e)","prot"
"48","thr-L","l-threonine",-0.075,"EX_pro_L(e)","prot"
"49","trp-L","l-tryptophan",-0.027,"EX_val_L(e)","prot"
"50","tyr-L","l-tyrosine",-0.033,"EX_phe_L(e)","prot"
"51","gln-L","l-glutamine",-0.06,"EX_tyr_L(e)","prot"
"52","val-L","l-valine",-0.06,"EX_gly(e)","prot"
"53","cys-L","l-cysteine",-0.1,"EX_trp_L(e)","prot"
