,S1,S1_conf,ST,ST_conf
0,1.2497890385577294e-13,1.1568596220367444e-12,1.4577230302477886e-26,1.167356632855682e-25
1,1.2497890385577294e-13,1.1568596220367444e-12,1.4577230302477886e-26,1.167356632855682e-25
2,1.2497890385577294e-13,1.1568596220367444e-12,1.4577230302477886e-26,1.167356632855682e-25
3,1.2497890385577294e-13,1.1568596220367444e-12,1.4577230302477886e-26,1.167356632855682e-25
4,1.2497890385577294e-13,1.1568596220367444e-12,1.4577230302477886e-26,1.167356632855682e-25
5,9.637303710143114e-14,1.1831181720000163e-12,1.9626530900851444e-26,1.1411017993049654e-25
6,1.2497890385577294e-13,1.1568596220367444e-12,1.4577230302477886e-26,1.167356632855682e-25
7,6.890215449540773e-14,9.547362396246832e-13,1.4579158252305443e-26,7.276780861093144e-26
8,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
9,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
10,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
11,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
12,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
13,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
14,3.5101338960039805e-14,7.340831070721078e-13,1.1220186112448438e-26,4.140377191630887e-26
15,4.147847271860429e-14,7.274537101857138e-13,1.06596345965664e-26,4.1817637050721677e-26
16,1.018483613868373e-13,6.954911586217168e-13,1.5147419911183426e-26,4.6640501670365135e-26
17,4.5771612026472087e-14,4.755104084746653e-13,3.9267519147977426e-27,1.846976340608945e-26
18,1.5560794162134582e-13,1.3863037979225006e-12,2.1868254666363776e-26,1.6745975178951435e-25
19,1.0066617640929895e-13,9.290296409142953e-13,1.0651442569633207e-26,7.388596803368555e-26
20,1.0066617640929895e-13,9.290296409142953e-13,1.0651442569633207e-26,7.388596803368555e-26
21,1.0066617640929895e-13,9.290296409142953e-13,1.0651442569633207e-26,7.388596803368555e-26
22,1.1020146532741289e-13,9.242547004697254e-13,1.233454276909106e-26,7.285842006006021e-26
23,5.930056114620073e-14,9.771392542885633e-13,1.6821845992731555e-26,8.493307766220316e-26
24,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
25,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
26,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
27,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
28,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
29,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
30,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
31,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
32,9.435260658601381e-14,9.32704701419835e-13,1.0651924453570454e-26,7.388592789070277e-26
33,4.2613456866922646e-14,4.704737118640534e-13,2.805166999096421e-27,1.8515122089936534e-26
34,3.717364039320004e-14,1.0065688240004374e-12,3.7554542972567426e-26,1.1141306856525653e-25
35,3.717364039320004e-14,1.0065688240004374e-12,3.7554542972567426e-26,1.1141306856525653e-25
36,3.079376613882182e-14,1.0072454204972702e-12,3.699350957274814e-26,1.122734131415431e-25
37,1.803675812587912e-14,1.0207705629460858e-12,3.9236679300631145e-26,1.1053371246268084e-25
38,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
39,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
40,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
41,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
42,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
43,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
44,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
45,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
46,2.4416632380257335e-14,1.011996954841672e-12,3.7554061088630183e-26,1.1141368771189075e-25
47,3.717364039320004e-14,1.0065688240004374e-12,3.7554542972567426e-26,1.1141306856525653e-25
48,3.717364039320004e-14,1.0065688240004374e-12,3.7554542972567426e-26,1.1141306856525653e-25
49,3.717364039320004e-14,1.0065688240004374e-12,3.7554542972567426e-26,1.1141306856525653e-25
50,3.717364039320004e-14,1.0065688240004374e-12,3.7554542972567426e-26,1.1141306856525653e-25
51,-2.6121228759422396e-14,3.304876378517738e-13,1.568966232192152e-26,5.029424958801758e-26
52,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
53,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
