#query	mnx_id	reference	xrefs	name
LPLIPAL2A161	MNXR101166	biggR:LPLIPAL2A161	bigg.reaction:LPLIPAL2A161 ... bigg.reaction:R_LPLIPAL2A161 ... biggR:LPLIPAL2A161 ... biggR:R_LPLIPAL2A161 ... deprecated:MNXR3294	1 MNXM1107900@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM5464@MNXD1 + 1 WATER@MNXD1
LPLIPAL2A180	MNXR101167	seedR:rxn08822	bigg.reaction:LPLIPAL2A180 ... bigg.reaction:R_LPLIPAL2A180 ... biggR:LPLIPAL2A180 ... biggR:R_LPLIPAL2A180 ... deprecated:MNXR3295 ... deprecated:MNXR69351 ... deprecated:MNXR83225 ... seed.reaction:rxn08822 ... seedR:rxn08822	3 MNXM1@MNXD1 + 1 MNXM236@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM5481@MNXD1 + 1 WATER@MNXD1
LPLIPAL2A181	MNXR101168	biggR:LPLIPAL2A181	bigg.reaction:LPLIPAL2A181 ... bigg.reaction:R_LPLIPAL2A181 ... biggR:LPLIPAL2A181 ... biggR:R_LPLIPAL2A181 ... deprecated:MNXR3296	1 MNXM1107708@MNXD1 + 1 MNXM66@MNXD1 = 1 MNXM5480@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E120	MNXR101183	biggR:LPLIPAL2E120	bigg.reaction:LPLIPAL2E120 ... bigg.reaction:R_LPLIPAL2E120 ... biggR:LPLIPAL2E120 ... biggR:R_LPLIPAL2E120 ... deprecated:MNXR3311	1 MNXM1106082@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM402@MNXD1 = 1 MNXM34808@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E140	MNXR101184	biggR:LPLIPAL2E140	bigg.reaction:LPLIPAL2E140 ... bigg.reaction:R_LPLIPAL2E140 ... biggR:LPLIPAL2E140 ... biggR:R_LPLIPAL2E140 ... deprecated:MNXR3312	1 MNXM1106082@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM314@MNXD1 = 1 MNXM34809@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E141	MNXR101185	biggR:LPLIPAL2E141	bigg.reaction:LPLIPAL2E141 ... bigg.reaction:R_LPLIPAL2E141 ... biggR:LPLIPAL2E141 ... biggR:R_LPLIPAL2E141 ... deprecated:MNXR50978	1 MNXM1106082@MNXD1 + 1 MNXM1107981@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM3447@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E160	MNXR145466	biggR:LPLIPAL2E160	bigg.reaction:LPLIPAL2E160 ... bigg.reaction:R_LPLIPAL2E160 ... biggR:LPLIPAL2E160 ... biggR:R_LPLIPAL2E160 ... deprecated:MNXR101186	1 MNXM108@MNXD1 + 1 MNXM1106082@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM34810@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E161	MNXR101187	biggR:LPLIPAL2E161	bigg.reaction:LPLIPAL2E161 ... bigg.reaction:R_LPLIPAL2E161 ... biggR:LPLIPAL2E161 ... biggR:R_LPLIPAL2E161 ... deprecated:MNXR3315	1 MNXM1106082@MNXD1 + 1 MNXM1107900@MNXD1 = 1 MNXM3448@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E180	MNXR145468	biggR:LPLIPAL2E180	bigg.reaction:LPLIPAL2E180 ... bigg.reaction:R_LPLIPAL2E180 ... biggR:LPLIPAL2E180 ... biggR:R_LPLIPAL2E180 ... deprecated:MNXR101188	1 MNXM1106082@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM236@MNXD1 = 1 MNXM34811@MNXD1 + 1 WATER@MNXD1
LPLIPAL2E181	MNXR101189	biggR:LPLIPAL2E181	bigg.reaction:LPLIPAL2E181 ... bigg.reaction:R_LPLIPAL2E181 ... biggR:LPLIPAL2E181 ... biggR:R_LPLIPAL2E181 ... deprecated:MNXR3317	1 MNXM1106082@MNXD1 + 1 MNXM1107708@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM3449@MNXD1 + 1 WATER@MNXD1
LPLIPAL2G120	MNXR101190	biggR:LPLIPAL2G120	bigg.reaction:LPLIPAL2G120 ... bigg.reaction:R_LPLIPAL2G120 ... biggR:LPLIPAL2G120 ... biggR:R_LPLIPAL2G120 ... deprecated:MNXR3318	1 MNXM1106891@MNXD1 + 1 MNXM402@MNXD1 = 1 MNXM3450@MNXD1 + 1 WATER@MNXD1
