#query	mnx_id	reference	xrefs	name
RNDR1	MNXR146314	biggR:RNDR1	bigg.reaction:RNDR1 ... bigg.reaction:RNDR1n ... bigg.reaction:R_RNDR1 ... bigg.reaction:R_RNDR1n ... biggR:RNDR1 ... biggR:RNDR1n ... biggR:R_RNDR1 ... biggR:R_RNDR1n ... deprecated:MNXR104060	1 MNXM40333@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM729076@MNXD1 + 1 MNXM735047@MNXD1 + 1 WATER@MNXD1
RNDR2	MNXR146320	biggR:RNDR2	bigg.reaction:RNDR2 ... bigg.reaction:RNDR2n ... bigg.reaction:R_RNDR2 ... bigg.reaction:R_RNDR2n ... biggR:RNDR2 ... biggR:RNDR2n ... biggR:R_RNDR2 ... biggR:R_RNDR2n ... deprecated:MNXR104062	1 MNXM1103285@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM436@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1
RNDR3	MNXR146326	biggR:RNDR3	bigg.reaction:RNDR3 ... bigg.reaction:RNDR3n ... bigg.reaction:R_RNDR3 ... bigg.reaction:R_RNDR3n ... biggR:RNDR3 ... biggR:RNDR3n ... biggR:R_RNDR3 ... biggR:R_RNDR3n ... deprecated:MNXR104064	1 MNXM1102191@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM411@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1
RNDR4	MNXR146332	biggR:RNDR4	bigg.reaction:RNDR4 ... bigg.reaction:RNDR4n ... bigg.reaction:R_RNDR4 ... bigg.reaction:R_RNDR4n ... biggR:RNDR4 ... biggR:RNDR4n ... biggR:R_RNDR4 ... biggR:R_RNDR4n ... deprecated:MNXR104066	1 MNXM1102128@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM572@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1
RNTR1	MNXR146338	biggR:RNTR1	bigg.reaction:RNTR1 ... bigg.reaction:R_RNTR1 ... biggR:RNTR1 ... biggR:R_RNTR1 ... deprecated:MNXR104070	1 MNXM286@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM741334@MNXD1
RNTR2	MNXR146342	biggR:RNTR2	bigg.reaction:RNTR2 ... bigg.reaction:R_RNTR2 ... biggR:RNTR2 ... biggR:R_RNTR2 ... deprecated:MNXR104073	1 MNXM1103553@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM344@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1
RNTR3	MNXR146346	biggR:RNTR3	bigg.reaction:RNTR3 ... bigg.reaction:R_RNTR3 ... biggR:RNTR3 ... biggR:R_RNTR3 ... deprecated:MNXR104076	1 MNXM1103718@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM360@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1
RNTR4	MNXR146350	biggR:RE0456N	bigg.reaction:RE0456N ... bigg.reaction:RNTR4 ... bigg.reaction:R_RE0456N ... bigg.reaction:R_RNTR4 ... biggR:RE0456N ... biggR:RNTR4 ... biggR:R_RE0456N ... biggR:R_RNTR4 ... deprecated:MNXR104079	1 MNXM1101474@MNXD1 + 1 MNXM741334@MNXD1 = 1 MNXM452@MNXD1 + 1 MNXM729076@MNXD1 + 1 WATER@MNXD1
RPE	MNXR104083	rheaR:13677	bigg.reaction:RPE ... bigg.reaction:RPEc ... bigg.reaction:RPEg ... bigg.reaction:RPEh ... bigg.reaction:R_RPE ... bigg.reaction:R_RPEc ... bigg.reaction:R_RPEg ... bigg.reaction:R_RPEh ... biggR:RPE ... biggR:RPEc ... biggR:RPEg ... biggR:RPEh ... biggR:R_RPE ... biggR:R_RPEc ... biggR:R_RPEg ... biggR:R_RPEh ... deprecated:MNXR4653 ... kegg.reaction:R01529 ... keggR:R01529 ... metacyc.reaction:RIBULP3EPIM-RXN ... metacycR:RIBULP3EPIM-RXN ... rhea:13677 ... rhea:13678 ... rhea:13679 ... rhea:13680 ... rheaR:13677 ... rheaR:13678 ... rheaR:13679 ... rheaR:13680 ... sabiork.reaction:62 ... sabiorkR:62 ... seed.reaction:rxn01116 ... seed.reaction:rxn28146 ... seedR:rxn01116 ... seedR:rxn28146	1 MNXM145@MNXD1 = 1 MNXM186@MNXD1
RPI	MNXR189850	keggR:R01056	bigg.reaction:RPI ... bigg.reaction:RPIg ... bigg.reaction:RPIh ... bigg.reaction:R_RPI ... bigg.reaction:R_RPIg ... bigg.reaction:R_RPIh ... bigg.reaction:R_r0249 ... bigg.reaction:r0249 ... biggR:RPI ... biggR:RPIg ... biggR:RPIh ... biggR:R_RPI ... biggR:R_RPIg ... biggR:R_RPIh ... biggR:R_r0249 ... biggR:r0249 ... deprecated:MNXR146353 ... deprecated:MNXR189851 ... kegg.reaction:R01056 ... keggR:R01056 ... seed.reaction:rxn00777 ... seed.reaction:rxn15114 ... seed.reaction:rxn28141 ... seed.reaction:rxn34267 ... seed.reaction:rxn38284 ... seedR:rxn00777 ... seedR:rxn15114 ... seedR:rxn28141 ... seedR:rxn34267 ... seedR:rxn38284	1 MNXM1104056@MNXD1 = 1 MNXM145@MNXD1 + 2 MNXM1@MNXD1
