#query	mnx_id	reference	xrefs	name
CDPGLYCGPT				
CDPMEK	MNXR153163	rheaR:18437	bigg.reaction:CDPMEK ... bigg.reaction:CDPMEK_1 ... bigg.reaction:CMK ... bigg.reaction:R_CDPMEK ... bigg.reaction:R_CDPMEK_1 ... bigg.reaction:R_CMK ... biggR:CDPMEK ... biggR:CDPMEK_1 ... biggR:CMK ... biggR:R_CDPMEK ... biggR:R_CDPMEK_1 ... biggR:R_CMK ... deprecated:MNXR153164 ... deprecated:MNXR96558 ... kegg.reaction:R05634 ... keggR:R05634 ... metacyc.reaction:2.7.1.148-RXN ... metacycR:2.7.1.148-RXN ... rhea:18437 ... rhea:18438 ... rhea:18439 ... rhea:18440 ... rheaR:18437 ... rheaR:18438 ... rheaR:18439 ... rheaR:18440 ... seed.reaction:rxn03908 ... seed.reaction:rxn27525 ... seedR:rxn03908 ... seedR:rxn27525	1 MNXM1641@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM730948@MNXD1
CELBpts	MNXR96586	seedR:rxn05518	bigg.reaction:CELBpts ... bigg.reaction:R_CELBpts ... biggR:CELBpts ... biggR:R_CELBpts ... deprecated:MNXR134968 ... seed.reaction:rxn05518 ... seed.reaction:rxn30252 ... seedR:rxn05518 ... seedR:rxn30252	1 MNXM1107797@MNXD1 + 1 MNXM23@MNXD1 = 2 MNXM1@MNXD1 + 1 MNXM726888@MNXD2 + 1 MNXM73@MNXD1
CGLYabc				
CH4St	MNXR96663	seedR:rxn10470	bigg.reaction:CH4St ... bigg.reaction:EX_ch4s_e ... bigg.reaction:R_CH4St ... bigg.reaction:R_EX_ch4s_e ... biggR:CH4St ... biggR:EX_ch4s_e ... biggR:R_CH4St ... biggR:R_EX_ch4s_e ... deprecated:MNXR1137 ... deprecated:MNXR98338 ... seed.reaction:rxn10470 ... seed.reaction:rxn32480 ... seedR:rxn10470 ... seedR:rxn32480	1 MNXM652@MNXD1 = 1 MNXM652@MNXD2
CHORM	MNXR153200	rheaR:13897	bigg.reaction:CHORM ... bigg.reaction:CHRM ... bigg.reaction:R_CHORM ... bigg.reaction:R_CHRM ... biggR:CHORM ... biggR:CHRM ... biggR:R_CHORM ... biggR:R_CHRM ... deprecated:MNXR153201 ... deprecated:MNXR153202 ... deprecated:MNXR96708 ... kegg.reaction:R01715 ... keggR:R01715 ... metacyc.reaction:CHORISMATEMUT-RXN ... metacycR:CHORISMATEMUT-RXN ... rhea:13897 ... rhea:13898 ... rhea:13899 ... rhea:13900 ... rheaR:13897 ... rheaR:13898 ... rheaR:13899 ... rheaR:13900 ... sabiork.reaction:1827 ... sabiorkR:1827 ... seed.reaction:rxn01256 ... seed.reaction:rxn19309 ... seed.reaction:rxn33299 ... seedR:rxn01256 ... seedR:rxn19309 ... seedR:rxn33299	1 MNXM337@MNXD1 = 1 MNXM737312@MNXD1
CHORS	MNXR96709	rheaR:21020	bigg.reaction:CHORS ... bigg.reaction:CHORS_1 ... bigg.reaction:CHRS ... bigg.reaction:R_CHORS ... bigg.reaction:R_CHORS_1 ... bigg.reaction:R_CHRS ... biggR:CHORS ... biggR:CHORS_1 ... biggR:CHRS ... biggR:R_CHORS ... biggR:R_CHORS_1 ... biggR:R_CHRS ... deprecated:MNXR1160 ... kegg.reaction:R01714 ... keggR:R01714 ... metacyc.reaction:CHORISMATE-SYNTHASE-RXN ... metacycR:CHORISMATE-SYNTHASE-RXN ... rhea:21020 ... rhea:21021 ... rhea:21022 ... rhea:21023 ... rheaR:21020 ... rheaR:21021 ... rheaR:21022 ... rheaR:21023 ... sabiork.reaction:1826 ... sabiorkR:1826 ... seed.reaction:rxn01255 ... seed.reaction:rxn32460 ... seedR:rxn01255 ... seedR:rxn32460	1 MNXM1365@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM9@MNXD1
CHRPL	MNXR96711	rheaR:16505	bigg.reaction:CHRPL ... bigg.reaction:R_CHRPL ... biggR:CHRPL ... biggR:R_CHRPL ... deprecated:MNXR1161 ... kegg.reaction:R01302 ... keggR:R01302 ... metacyc.reaction:CHORPYRLY-RXN ... metacycR:CHORPYRLY-RXN ... rhea:16505 ... rhea:16506 ... rhea:16507 ... rhea:16508 ... rheaR:16505 ... rheaR:16506 ... rheaR:16507 ... rheaR:16508 ... sabiork.reaction:1517 ... sabiorkR:1517 ... seed.reaction:rxn00966 ... seedR:rxn00966	1 MNXM164@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM337@MNXD1
CINNMR				
CITL	MNXR96731	rheaR:10760	bigg.reaction:CITL ... bigg.reaction:R_CITL ... bigg.reaction:R_r1109 ... bigg.reaction:r1109 ... biggR:CITL ... biggR:R_CITL ... biggR:R_r1109 ... biggR:r1109 ... deprecated:MNXR1171 ... kegg.reaction:R00362 ... keggR:R00362 ... metacyc.reaction:CITLY-RXN ... metacycR:CITLY-RXN ... rhea:10760 ... rhea:10761 ... rhea:10762 ... rhea:10763 ... rheaR:10760 ... rheaR:10761 ... rheaR:10762 ... rheaR:10763 ... seed.reaction:rxn00265 ... seedR:rxn00265	1 MNXM1107753@MNXD1 = 1 MNXM26@MNXD1 + 1 MNXM46@MNXD1
CLPNS140	MNXR96782	biggR:CLPNS140	bigg.reaction:CLPNS140 ... bigg.reaction:CLPNS140pp ... bigg.reaction:R_CLPNS140 ... bigg.reaction:R_CLPNS140pp ... biggR:CLPNS140 ... biggR:CLPNS140pp ... biggR:R_CLPNS140 ... biggR:R_CLPNS140pp ... deprecated:MNXR1205	2 MNXM737417@MNXD1 = 1 MNXM740794@MNXD1 + 1 MNXM89612@MNXD1
