gene_id_model V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
645452.1.peg.288 73.403 76.161 79.33 66.054 44.062 4.432 18.747 63.2 42.035 22.525 73.778 21.035
645452.1.peg.1491 22.47 30.764 54.123 75.612 64.099 57.401 96.652 30.272 10.454 54.751 75.819 70.252
645452.1.peg.207 72.544 43.675 94.045 77.252 73.148 92.682 15.946 11.579 82.767 29.827 94.951 90.925
645452.1.peg.666 84.001 57.235 71.111 92.966 52.582 65.399 57.357 42.347 64.041 6.509 72.758 76.965
645452.1.peg.665 2.922 70.461 37.282 22.649 25.973 66.319 22.331 19.853 6.316 7.917 88.506 85.721
645452.1.peg.1081 20.394 52.913 52.124 27.999 20.765 67.961 65.771 29.222 98.917 41.037 54.176 62.237
645452.1.peg.1082 10.917 65.066 60.356 2.435 39.395 38.209 54.915 88.457 49.938 57.143 79.003 73.599
645452.1.peg.2310 58.263 32.684 47.989 78.818 97.633 34.491 46.2 68.204 26.865 91.783 6.511 28.698
645452.1.peg.133 40.234 62.062 32.977 70.424 76.13 34.245 82.846 71.99 82.13 15.679 82.375 24.903
645452.1.peg.900 89.079 24.111 79.84 98.141 93.591 13.611 82.555 33.265 72.508 43.092 34.909 66.745
645452.1.peg.64 29.954 80.198 93.265 44.259 68.919 10.657 72.308 91.588 56.876 34.55 33.49 11.49
645452.1.peg.2561 1.542 30.169 99.308 18.029 92.786 48.141 57.906 26.827 42.171 98.443 34.659 69.461
645452.1.peg.1083 5.13 63.255 33.208 64.384 97.617 34.216 17.289 1.382 72.389 64.53 49.509 95.65
645452.1.peg.1079 79.232 80.752 65.831 48.547 35.757 30.261 73.018 57.612 29.697 75.294 25.338 31.124
645452.1.peg.1085 41.77 31.011 69.905 61.979 91.321 83.502 43.507 49.898 89.25 50.082 79.896 87.289
645452.1.peg.2307 1.951 85.227 70.823 1.026 35.19 19.654 64.59 84.27 82.105 18.028 86.96 95.687
645452.1.peg.2095 39.972 78.552 6.923 91.647 21.664 93.642 62.361 61.814 4.818 55.657 34.806 65.297
645452.1.peg.223 59.959 56.143 97.628 97.452 61.642 88.924 9.992 23.909 92.426 28.574 23.979 4.235
645452.1.peg.3241 51.297 16.435 72.657 20.166 50.094 18.113 67.278 47.147 6.517 54.677 39.638 88.436
645452.1.peg.3246 68.662 38.094 56.937 97.437 66.293 67.712 26.007 79.075 86.46 18.91 56.969 51.821
645452.1.peg.3240 46.022 63.787 91.15 82.331 49.558 45.418 86.931 78.16 13.103 31.385 24.39 99.204
645452.1.peg.3242 42.99 50.287 23.09 97.47 6.365 12.134 8.963 26.589 68.955 1.307 49.6 76.926
645452.1.peg.3244 83.197 44.818 10.203 41.669 10.533 67.874 93.84 93.605 13.974 15.931 66.725 95.094
645452.1.peg.835 89.725 88.602 81.229 65.675 69.094 75.835 88.952 58.145 77.905 56.808 10.552 9.554
645452.1.peg.1461 91.292 48.227 84.538 34.902 61.296 70.301 36.933 79.568 1.657 84.916 11.771 23.001
645452.1.peg.379 46.547 47.759 55.239 96.691 95.651 97.19 28.172 56.529 80.916 22.587 49.209 35.101
645452.1.peg.3067 21.614 37.7 13.416 45.193 26.952 22.836 49.081 46.397 11.297 20.029 61.463 34.417
645452.1.peg.81 68.353 71.331 85.59 87.102 81.708 90.027 67.038 53.854 68.397 46.527 97.734 73.577
645452.1.peg.2886 37.099 35.681 62.305 49.304 58.408 84.24 45.96 45.099 51.714 38.912 53.581 89.356
645452.1.peg.3046 51.126 81.072 70.021 58.55 17.811 86.192 68.644 60.662 82.719 10.095 66.338 8.051
645452.1.peg.3085 18.814 74.803 14.026 76.739 89.135 53.825 74.788 78.432 87.371 22.446 37.957 40.399
645452.1.peg.3028 11.687 93.452 36.784 91.778 7.732 13.148 51.84 19.387 21.127 94.742 35.75 33.787
645452.1.peg.3091 51.142 40.419 17.974 64.414 68.315 2.111 32.717 89.879 76.018 50.721 1.025 74.353
645452.1.peg.2971 11.237 78.825 21.144 15.92 79.245 42.888 24.089 86.885 38.334 49.321 72.216 97.398
645452.1.peg.3656 99.975 65.915 46.849 88.569 34.652 61.185 89.638 1.277 58.814 4.573 95.653 98.679
645452.1.peg.2189 55.63 38.025 23.521 54.785 11.825 4.1 65.897 58.289 26.679 77.799 75.506 71.625
645452.1.peg.2912 75.982 15.325 23.576 59.353 57.61 80.134 21.877 67.338 15.823 46.447 47.61 12.777
645452.1.peg.2913 7.098 5.833 6.791 49.002 21.905 44.484 32.37 8.378 94.517 77.064 70.479 13.09
645452.1.peg.975 98.722 14.691 27.528 10.67 7.805 38.695 8.321 60.969 13.002 92.943 42.543 43.255
645452.1.peg.2662 92.647 55.683 39.033 70.117 13.794 34.828 59.05 25.586 56.278 80.068 51.806 55.714
645452.1.peg.2908 46.512 7.779 91.601 28.534 61.565 93.304 43.767 87.17 94.712 15.608 51.27 6.811
645452.1.peg.358 2.374 86.469 28.76 3.138 78.544 47.882 76.42 88.175 75.488 42.87 91.215 93.055
645452.1.peg.3409 55.998 15.644 37.539 88.755 10.894 74.131 5.862 30.307 45.718 85.359 47.719 51.337
645452.1.peg.191 75.845 31.917 47.939 97.059 7.322 77.891 9.867 79.304 60.115 74.029 32.53 16.875
645452.1.peg.1910 5.733 25.007 47.452 34.291 41.495 90.794 99.819 20.748 96.078 91.88 43.196 64.281
645452.1.peg.2308 93.052 81.358 46.116 84.554 11.094 89.594 37.136 17.062 6.942 51.599 20.509 18.152
645452.1.peg.3051 77.165 37.302 33.819 77.594 5.394 23.047 59.89 30.724 32.456 13.612 19.836 23.689
645452.1.peg.3038 50.55 63.728 81.494 83.468 5.054 34.021 42.731 7.954 94.522 83.381 91.445 61.051
645452.1.peg.2743 51.155 27.069 89.619 31.69 74.298 5.841 11.283 2.437 90.925 38.059 77.536 86.29
645452.1.peg.2007 76.775 38.284 49.252 48.605 81.398 65.706 28.223 77.172 65.491 40.263 1.256 66.391
645452.1.peg.2008 98.942 71.314 58.207 20.485 36.569 39.533 47.565 9.37 11.998 17.369 27.016 86.013
645452.1.peg.1492 44.225 48.677 79.78 68.363 73.421 5.605 5.857 22.364 44.043 79.511 68.869 45.356
645452.1.peg.1074 9.425 40.277 45.878 86.228 34.179 56.689 45.955 16.528 4.001 69.951 41.091 44.669
645452.1.peg.2216 23.957 11.681 56.809 25.929 49.6 60.726 93.791 6.449 72.503 23.743 28.461 47.03
645452.1.peg.1837 91.301 83.528 72.447 39.421 9.72 4.959 86.318 90.064 28.411 21.778 10.319 94.424
645452.1.peg.1733 57.422 59.05 78.567 82.587 46.602 79.155 53.442 99.44 49.26 22.884 25.434 88.194
645452.1.peg.787 6.358 21.806 17.536 67.194 1.27 11.722 47.99 17.746 61.023 89.109 80.731 33.889
645452.1.peg.390 2.675 64.326 24.619 53.826 95.098 50.719 9.071 84.346 13.243 62.507 90.646 39.91
645452.1.peg.970 69.401 94.667 60.539 97.705 44.52 78.626 6.868 1.014 69.384 69.005 70.101 15.42
645452.1.peg.2005 26.757 76.915 48.467 45.519 95.584 78.576 79.83 36.334 53.108 65.151 65.314 67.511
645452.1.peg.2057 56.318 23.807 41.913 6.284 28.265 19.774 29.962 48.367 92.694 56.913 61.338 27.586
645452.1.peg.3175 35.179 57.616 5.591 84.43 15.268 25.004 10.352 81.468 55.12 26.496 6.28 8.832
645452.1.peg.317 78.871 75.423 4.775 32.342 46.348 64.856 99.414 75.231 4.164 30.613 70.615 18.501
645452.1.peg.816 50.055 29.204 95.222 9.605 84.842 3.587 25.385 81.51 69.765 98.608 74.726 81.452
645452.1.peg.2006 92.837 40.721 76.368 81.408 19.528 85.118 35.721 15.306 86.612 64.958 1.901 18.963
645452.1.peg.3458 70.776 63.202 43.957 64.688 8.441 69.258 81.643 94.95 3.494 90.817 15.36 62.128
645452.1.peg.31 30.489 89.2 76.766 35.477 2.231 70.699 6.222 2.782 89.562 37.369 2.709 6.79
645452.1.peg.30 10.889 57.686 65.32 53.349 51.981 38.926 32.952 37.574 95.167 16.235 14.096 8.37
645452.1.peg.29 40.167 69.759 71.678 50.471 99.808 3.853 20.102 34.157 43.851 56.999 37.476 99.541
645452.1.peg.28 35.894 20.796 6.903 37.1 68.571 34.019 40.128 1.35 39.504 75.448 64.331 5.766
645452.1.peg.1759 37.485 25.559 71.426 71.538 40.877 94.936 32.147 9.655 7.592 85.273 6.588 91.328
